cnf,solution,abcdsat-2015,berkmin-2003,boehm1-1992,chaff-2001,cryptominisat-2010,glucose-2011,glucose-2012,grasp-1997,kissat-2020,kissat-mab-2021,kissat-mab-hywalk-2022,limmat-2002,lingeling-2013,lingeling-2014,maple-comsps-drup-2016,maple-lcm-disc-cb-dl-v3-2019,maple-lcm-dist-2017,maple-lcm-dist-cb-2018,minisat-2006,minisat-2008,precosat-2009,rsat-2007,satelite-gti-2005,zchaff-2004
9dlx_vliw_at_b_iq8.used-as.sat04-718,UNSATISFIABLE,2246.78,FAILED,FAILED,FAILED,3056.38,2022.59,1624.52,FAILED,990.17,1111.06,1091.97,FAILED,3546.22,3383.82,3624.91,3507.64,3318.70,3728.91,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
9dlx_vliw_at_b_iq9.used-as.sat04-719,UNSATISFIABLE,2998.38,FAILED,FAILED,FAILED,4954.25,3622.26,2670.05,FAILED,1573.52,1786.23,1716.14,FAILED,FAILED,FAILED,4140.03,FAILED,4016.35,4582.85,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
9vliw_m_9stages_iq3_C1_bug5,SATISFIABLE,9.23,985.95,FAILED,884.64,193.80,6.63,6.90,FAILED,55.54,52.10,127.14,FAILED,64.28,93.66,85.90,495.50,777.15,413.10,15.46,59.43,228.82,37.62,70.39,FAILED
9vliw_m_9stages_iq3_C1_bug6,SATISFIABLE,72.27,219.03,FAILED,642.65,213.57,7.36,43.12,FAILED,19.29,51.35,54.05,FAILED,90.81,112.00,76.31,292.77,384.22,298.61,19.97,50.68,144.38,68.03,70.27,FAILED
ACG-10-10p0,UNSATISFIABLE,41.10,1317.93,FAILED,FAILED,127.45,39.15,36.03,FAILED,55.16,93.14,62.53,FAILED,68.64,64.36,36.87,91.31,104.74,82.81,109.50,55.11,77.19,272.04,133.33,4544.16
ACG-15-5p1,SATISFIABLE,55.32,FAILED,FAILED,FAILED,126.07,66.01,62.92,FAILED,18.57,70.28,68.31,FAILED,121.86,118.87,62.54,127.84,148.28,149.55,212.92,116.38,87.80,46.39,166.67,3649.49
AProVE07-01,UNSATISFIABLE,2860.77,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,2845.38,FAILED,4832.03,FAILED,4256.80,FAILED,2392.00,4611.83,2618.18,2385.22,FAILED,FAILED,FAILED,FAILED,3601.58,FAILED
AProVE07-03,UNSATISFIABLE,263.58,FAILED,FAILED,FAILED,574.20,401.78,192.95,FAILED,234.94,323.20,328.47,FAILED,383.39,450.91,302.36,255.59,325.43,310.05,442.79,1721.24,2726.29,FAILED,445.71,FAILED
AProVE07-21,UNSATISFIABLE,85.76,FAILED,FAILED,1221.55,134.22,85.47,27.62,FAILED,27.65,35.56,43.40,FAILED,78.36,100.54,99.37,88.58,100.27,99.32,306.15,130.57,439.30,583.05,265.45,FAILED
AProVE11-02,SATISFIABLE,577.97,2.85,84.37,1.21,6.42,6.06,3.64,11.19,1.89,2.09,2.01,0.87,11.01,12.50,7.43,95.98,107.85,104.91,2.42,2.32,6.89,3.25,2.66,184.69
AProVE11-06,UNSATISFIABLE,2559.26,FAILED,FAILED,FAILED,4230.38,4892.25,3318.52,FAILED,3004.75,3744.98,3253.48,FAILED,3401.91,FAILED,2829.97,4272.13,3528.11,4511.41,FAILED,1861.72,3824.66,FAILED,FAILED,FAILED
AProVE11-07,SATISFIABLE,27.47,32.36,FAILED,2.44,17.14,4.92,4.24,FAILED,7.41,5.16,5.65,4.97,25.56,49.28,8.64,21.28,21.78,14.18,3.03,6.19,18.33,4.79,4.57,43.12
AProVE11-09,SATISFIABLE,2.46,0.85,FAILED,1.73,1.02,1.04,0.98,10.06,0.24,0.29,0.29,2.94,2.86,3.33,1.30,30.51,48.11,33.10,4.19,0.67,1.72,2.52,1.02,0.73
AProVE11-10,SATISFIABLE,63.13,14.67,FAILED,4.48,13.06,6.49,14.09,FAILED,33.62,20.90,20.94,1.86,10.10,51.58,9.44,177.06,252.83,282.58,3.67,28.42,7.61,5.97,4.44,26.15
AProVE11-11,UNSATISFIABLE,259.35,205.46,FAILED,392.40,65.43,14.59,14.20,FAILED,21.48,25.42,32.14,FAILED,50.46,67.99,30.10,48.57,59.41,51.05,63.67,16.18,38.79,31.44,36.67,1095.42
AProVE11-12,SATISFIABLE,4.16,1.25,FAILED,0.36,0.84,0.75,1.11,FAILED,0.25,0.30,0.26,0.50,2.03,2.08,2.09,5.30,7.13,6.42,0.71,0.52,1.22,0.69,0.62,1.98
AProVE11-13,SATISFIABLE,33.26,8.77,1.82,2.31,14.84,10.45,10.52,13.40,20.96,14.14,13.93,2.90,18.97,66.00,23.21,400.03,141.34,176.03,5.16,6.70,22.18,11.04,7.37,15.69
AProVE11-15,SATISFIABLE,22.38,584.63,FAILED,10.18,12.43,2.23,8.05,FAILED,5.42,25.91,4.41,158.25,29.56,39.84,4.20,37.98,22.17,22.60,1.64,4.84,5.85,2.09,1.33,1653.51
AProVE11-16,SATISFIABLE,11.19,8.52,FAILED,1.30,1.78,1.84,1.62,462.46,0.87,0.73,0.76,0.57,4.29,4.91,2.44,3.71,4.66,3.82,1.40,0.89,2.42,1.97,1.67,13.58
E00N23,UNSATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,4996.23,3346.06,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,3514.29,2990.99,2954.64,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
E00X23,UNSATISFIABLE,4424.32,FAILED,FAILED,FAILED,FAILED,4231.32,3169.24,FAILED,2575.47,3811.96,3445.64,FAILED,FAILED,FAILED,FAILED,2331.72,2378.62,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
E02F17,UNSATISFIABLE,23.16,17.22,FAILED,313.31,42.94,24.63,17.88,FAILED,23.27,22.98,22.49,2897.41,45.87,52.60,42.49,43.50,38.94,51.68,97.11,75.05,52.34,159.65,78.99,21.42
E02F20,SATISFIABLE,651.31,224.99,FAILED,502.11,238.67,29.61,15.04,FAILED,152.45,90.64,94.01,FAILED,770.20,537.48,2639.47,128.22,2520.20,56.77,36.53,119.85,573.24,264.74,1002.02,FAILED
E02F22,SATISFIABLE,308.89,62.27,FAILED,2482.08,1123.90,122.68,155.68,FAILED,220.10,218.04,215.77,148.93,417.99,351.18,309.76,483.52,334.55,367.31,608.45,406.35,500.45,304.03,314.26,2800.09
E03N17,UNSATISFIABLE,4.34,1.74,FAILED,7.34,1.51,3.57,1.48,FAILED,1.26,2.57,2.71,15.16,2.57,9.17,2.46,20.69,19.39,20.82,2.89,1.20,3.47,3.13,12.24,0.65
E04F19,SATISFIABLE,78.56,83.94,FAILED,461.45,15.77,10.70,17.50,FAILED,32.91,21.07,20.86,FAILED,46.00,111.00,41.73,65.95,200.78,81.31,28.40,101.66,47.06,48.16,34.26,1493.28
E04F20,SATISFIABLE,327.81,30.72,FAILED,52.82,314.83,30.01,24.75,FAILED,36.20,46.45,46.66,4372.95,182.92,87.47,156.31,79.02,127.59,296.20,152.51,101.13,60.47,121.80,65.59,221.79
E04N18,UNSATISFIABLE,1.09,0.22,FAILED,0.76,0.97,0.56,0.53,1895.76,0.34,0.55,0.43,0.90,1.51,14.50,0.98,8.52,12.71,17.87,1.36,1.01,4.19,0.65,10.15,0.35
E05F18,SATISFIABLE,27.30,6.38,FAILED,24.13,16.40,1.23,3.69,FAILED,11.51,12.68,12.30,57.50,37.13,59.56,16.94,24.44,55.84,34.49,16.27,22.74,17.28,11.98,18.10,23.16
E05F20,SATISFIABLE,120.66,104.84,FAILED,744.17,151.82,23.07,26.59,FAILED,21.99,19.67,19.71,FAILED,277.43,175.73,62.11,83.47,71.18,111.60,152.42,94.42,172.95,62.08,16.46,1175.48
E05X15,UNSATISFIABLE,8.15,8.93,FAILED,191.20,47.75,8.37,6.21,FAILED,34.78,10.04,9.92,397.15,15.02,15.65,9.32,25.51,20.39,17.01,35.74,6.27,67.21,18.27,25.79,17.48
E07N15,UNSATISFIABLE,0.03,0.04,0.02,0.11,0.02,0.13,0.08,0.07,0.03,0.02,0.02,0.05,0.09,0.03,0.02,0.01,0.05,0.01,6.26,0.02,0.04,0.07,0.06,0.08
E15N15,UNSATISFIABLE,0.02,0.06,0.03,0.11,0.02,0.08,0.09,0.06,0.02,0.02,0.02,0.05,0.06,0.05,0.02,0.04,0.07,0.02,0.23,0.02,0.04,0.15,0.14,0.07
IBM_FV_2004_rule_batch_30_SAT_dat.k55,SATISFIABLE,221.69,FAILED,FAILED,1928.14,943.43,327.01,506.06,FAILED,728.90,603.20,70.09,FAILED,142.87,1360.89,266.93,621.55,210.77,305.69,101.42,1292.46,595.28,98.84,1148.14,FAILED
IBM_FV_2004_rule_batch_30_SAT_dat.k80,SATISFIABLE,336.49,FAILED,FAILED,FAILED,FAILED,603.16,409.20,FAILED,194.60,494.38,485.52,FAILED,192.58,147.57,1674.97,1095.03,258.69,1381.92,866.41,60.53,889.46,1117.57,815.76,FAILED
SAT_dat.k100,UNSATISFIABLE,410.04,FAILED,FAILED,FAILED,FAILED,307.67,185.95,FAILED,106.50,106.72,92.68,FAILED,FAILED,3918.88,2679.12,213.78,2545.83,2542.22,FAILED,4389.77,FAILED,FAILED,FAILED,FAILED
SAT_dat.k20,UNSATISFIABLE,335.24,FAILED,FAILED,FAILED,FAILED,357.53,233.22,FAILED,102.77,81.18,82.64,FAILED,FAILED,2646.86,2577.66,192.35,2541.16,2544.62,FAILED,3668.28,FAILED,FAILED,FAILED,FAILED
SAT_dat.k45,UNSATISFIABLE,243.54,FAILED,FAILED,FAILED,FAILED,305.38,170.95,FAILED,93.22,87.90,88.06,FAILED,FAILED,4144.72,2614.12,194.88,2568.84,2544.54,FAILED,2209.89,FAILED,FAILED,FAILED,FAILED
SAT_dat.k80,UNSATISFIABLE,222.92,FAILED,FAILED,FAILED,FAILED,288.08,178.25,FAILED,88.54,89.08,80.14,FAILED,FAILED,FAILED,2681.96,157.06,2551.35,2567.44,FAILED,4012.99,FAILED,FAILED,FAILED,FAILED
SAT_dat.k80_04,SATISFIABLE,31.58,540.77,FAILED,4651.87,43.27,17.31,15.59,FAILED,7.00,11.76,13.06,1341.83,18.26,45.06,29.32,48.97,32.75,59.13,35.87,14.13,28.20,23.88,78.60,3626.24
SAT_dat.k85,SATISFIABLE,1154.39,FAILED,FAILED,FAILED,60.17,476.63,544.64,FAILED,249.23,727.14,731.56,FAILED,153.44,75.65,1099.20,301.80,245.48,845.68,FAILED,50.52,1869.23,917.46,FAILED,FAILED
UCG-15-10p0,UNSATISFIABLE,220.42,FAILED,FAILED,FAILED,785.31,553.74,312.29,FAILED,235.21,267.34,268.95,FAILED,253.99,404.68,240.62,239.85,350.24,379.47,509.43,591.70,353.04,1407.30,1621.52,FAILED
UCG-15-10p1,SATISFIABLE,218.71,FAILED,FAILED,FAILED,887.31,476.86,378.22,FAILED,234.91,332.25,352.72,FAILED,357.05,335.48,254.35,428.41,422.27,570.84,1995.46,533.17,452.84,1428.38,FAILED,FAILED
UCG-15-5p0,UNSATISFIABLE,43.48,FAILED,FAILED,FAILED,71.66,49.87,45.47,FAILED,48.88,41.93,49.07,FAILED,64.31,63.71,42.80,84.11,128.78,94.41,59.08,65.40,51.06,91.12,77.04,FAILED
UCG-20-5p1,SATISFIABLE,361.21,FAILED,FAILED,FAILED,370.08,460.92,689.43,FAILED,71.64,124.12,124.42,FAILED,249.53,199.00,135.27,302.56,368.85,258.22,443.64,520.57,198.05,591.24,524.93,FAILED
UR-10-10p1,SATISFIABLE,82.59,FAILED,FAILED,3026.72,153.96,71.29,37.17,FAILED,48.77,15.19,55.16,741.48,87.15,78.47,66.70,97.59,110.08,112.96,224.86,124.94,108.66,129.74,356.14,FAILED
UR-20-10p0,UNSATISFIABLE,3570.98,FAILED,FAILED,FAILED,FAILED,3334.09,3984.93,FAILED,2353.75,2606.98,2175.67,FAILED,2993.65,3430.74,2336.24,1323.24,1448.53,1653.15,FAILED,FAILED,3731.13,FAILED,FAILED,FAILED
UR-20-10p1,SATISFIABLE,2745.42,FAILED,FAILED,FAILED,4948.32,4385.10,3347.47,FAILED,1557.52,578.87,584.54,FAILED,2640.39,FAILED,FAILED,1841.80,1456.97,1497.14,FAILED,FAILED,4736.55,FAILED,FAILED,FAILED
UTI-10-5t1,SATISFIABLE,4.84,40.33,FAILED,2.83,6.77,1.69,1.70,216.99,0.76,1.12,0.71,0.71,1.30,1.66,3.70,4.45,6.12,8.08,8.44,1.11,6.76,2.24,2.04,1.30
UTI-20-10p0,UNSATISFIABLE,531.02,FAILED,FAILED,FAILED,1068.87,691.90,716.35,FAILED,716.55,817.20,613.66,FAILED,836.31,601.51,1312.01,521.04,537.46,527.92,FAILED,2835.76,2655.03,3588.89,FAILED,FAILED
UTI-20-10p1,SATISFIABLE,1772.96,FAILED,FAILED,FAILED,1568.95,1135.25,1585.92,FAILED,541.23,851.24,738.54,FAILED,1935.66,649.77,1257.90,763.44,694.78,534.57,FAILED,3877.84,4472.79,2861.63,FAILED,FAILED
UTI-20-10t0,UNSATISFIABLE,23.47,289.76,FAILED,42.46,17.94,6.92,8.12,FAILED,5.02,5.12,5.40,108.63,7.03,25.56,10.10,23.86,34.93,36.34,16.17,7.53,23.84,9.10,11.18,25.24
UTI-20-10t1,SATISFIABLE,24.10,316.45,FAILED,7.49,12.57,5.64,4.41,1016.71,2.15,3.61,3.44,1.76,3.94,5.00,8.22,57.94,54.18,28.97,15.99,6.35,22.68,9.58,11.74,19.38
aaai10-planning-ipc5-TPP-21-step11,UNSATISFIABLE,374.16,2305.70,FAILED,FAILED,991.19,1383.18,1077.79,FAILED,435.22,364.98,398.27,FAILED,2279.77,684.68,883.50,714.05,547.23,589.88,FAILED,FAILED,295.33,FAILED,FAILED,FAILED
aaai10-planning-ipc5-TPP-30-step11,SATISFIABLE,179.56,FAILED,FAILED,FAILED,82.17,35.35,51.54,FAILED,56.25,34.64,41.81,2300.32,210.04,264.22,63.48,214.57,203.28,186.60,90.66,28.30,127.80,71.83,250.07,900.65
aaai10-planning-ipc5-pathways-13-step17,UNSATISFIABLE,136.65,FAILED,FAILED,FAILED,361.90,857.43,535.56,FAILED,170.54,171.29,179.19,FAILED,498.32,393.28,712.46,340.80,455.87,219.80,FAILED,2912.76,216.49,4573.34,FAILED,FAILED
aaai10-planning-ipc5-pathways-17-step20,UNSATISFIABLE,144.65,FAILED,FAILED,FAILED,352.70,399.30,668.83,FAILED,135.38,163.80,186.13,FAILED,467.58,480.15,359.11,218.82,184.16,271.06,1582.60,1004.30,155.77,1937.37,2226.87,FAILED
aaai10-planning-ipc5-pathways-17-step21,SATISFIABLE,812.98,FAILED,FAILED,FAILED,1034.62,2853.42,964.59,FAILED,499.37,239.68,172.88,2693.10,671.67,498.76,960.50,217.15,3539.94,547.55,811.21,4425.24,121.92,4949.84,FAILED,FAILED
aaai10-planning-ipc5-pipesworld-12-step15,UNSATISFIABLE,126.89,247.44,FAILED,2283.72,269.95,212.62,221.28,FAILED,204.55,177.39,165.28,FAILED,135.70,162.08,328.05,344.49,427.03,322.74,983.67,644.36,93.24,717.88,1135.04,1324.54
aaai10-planning-ipc5-pipesworld-12-step16,SATISFIABLE,103.60,136.57,FAILED,FAILED,33.41,57.74,94.65,FAILED,10.29,76.67,49.85,FAILED,135.41,110.00,122.22,274.43,473.94,454.98,1864.80,7.25,56.81,1135.94,225.33,729.20
aaai10-planning-ipc5-pipesworld-18-step15,UNSATISFIABLE,15.43,26.72,FAILED,86.82,15.29,11.48,11.21,FAILED,20.20,25.93,24.39,FAILED,44.39,48.26,20.67,317.39,468.44,606.86,52.16,17.92,46.43,55.20,54.40,58.11
aaai10-planning-ipc5-pipesworld-18-step16,SATISFIABLE,36.18,122.83,FAILED,1581.06,170.89,61.88,35.40,FAILED,95.32,54.35,74.15,4479.13,72.65,120.10,170.42,498.00,651.65,667.91,2073.43,99.36,103.38,144.83,1893.04,227.64
aaai10-planning-ipc5-pipesworld-27-step13,UNSATISFIABLE,38.71,258.63,FAILED,359.44,76.97,36.29,37.15,FAILED,152.38,153.03,115.28,2022.49,170.94,72.79,83.15,281.38,639.76,264.23,193.63,123.68,132.87,329.85,293.49,239.02
aaai10-planning-ipc5-pipesworld-27-step14,SATISFIABLE,FAILED,469.86,FAILED,3571.79,99.34,14.03,14.76,FAILED,30.29,57.12,21.50,3322.98,317.95,213.81,53.16,299.95,383.99,355.94,29.36,121.99,188.03,117.47,77.03,840.11
aaai10-planning-ipc5-rovers-18-step11,UNSATISFIABLE,66.96,12.59,FAILED,375.89,4.77,5.37,6.60,FAILED,FAILED,FAILED,FAILED,41.33,FAILED,FAILED,7.40,31.40,30.91,32.71,FAILED,8.34,316.78,11.64,33.21,162.50
aaai10-planning-ipc5-rovers-18-step12,SATISFIABLE,1.22,3.71,FAILED,26.85,1.89,1.83,0.88,FAILED,0.93,0.99,0.85,8.67,1.53,2.51,1.93,27.53,28.54,44.48,1.80,0.65,2.52,1.05,0.94,2.33
abb313GPIA-9-c.used-as.sat04-317,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,398.60,336.53,338.40,FAILED,1040.74,186.89,783.46,906.06,533.28,194.73,FAILED,FAILED,17.91,FAILED,FAILED,FAILED
abb313GPIA-9-tr.used-as.sat04-321,SATISFIABLE,9.79,0.16,FAILED,261.78,15.14,1573.32,1.89,FAILED,0.89,0.41,0.43,295.78,2.43,9.33,1.57,12.68,12.52,13.20,12.43,1.40,1.65,2.65,24.76,FAILED
aes_128_10_keyfind_1,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
aes_128_1_keyfind_1,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
aes_128_2_keyfind_1,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
aes_128_3_keyfind_1,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
aes_32_1_keyfind_1,SATISFIABLE,0.09,0.02,0.20,0.07,0.05,0.12,0.06,142.75,0.08,0.33,0.10,0.10,0.03,0.03,0.04,0.38,0.25,0.47,0.09,0.03,0.04,0.04,0.06,0.14
aes_32_2_keyfind_1,SATISFIABLE,15.59,107.92,FAILED,70.64,5.09,10.41,20.17,FAILED,2.91,4.50,1.63,111.88,5.60,8.44,18.38,7.45,6.41,6.63,1.92,0.34,1.30,FAILED,6.06,200.56
aes_32_3_keyfind_1,SATISFIABLE,943.79,1228.70,FAILED,FAILED,6.16,FAILED,FAILED,FAILED,77.28,224.11,1850.54,FAILED,680.45,1510.78,490.05,73.48,968.10,957.55,73.10,980.67,3416.40,4268.49,137.43,FAILED
aes_32_4_keyfind_1,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
aes_32_5_keyfind_1,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
aes_64_1_keyfind_1,SATISFIABLE,598.96,FAILED,FAILED,FAILED,49.60,FAILED,2194.16,FAILED,1353.71,26.04,942.45,FAILED,1504.82,3466.79,2360.56,454.28,206.33,210.20,542.37,104.81,336.68,FAILED,611.17,1956.21
aes_64_2_keyfind_1,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
aes_64_3_keyfind_1,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
aes_64_4_keyfind_1,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
all.used-as.sat04-986,UNSATISFIABLE,14.77,205.15,FAILED,FAILED,39.80,19.47,15.07,FAILED,16.25,19.04,19.27,FAILED,23.39,23.77,43.02,40.61,40.24,37.65,165.66,42.86,40.09,113.22,89.33,897.68
am_7_7.shuffled-as.sat03-363,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
bart17.shuffled,SATISFIABLE,0.06,0.01,0.01,FAILED,0.01,0.10,0.02,0.01,0.03,0.04,0.04,FAILED,0.04,0.04,0.01,0.01,0.02,0.19,43.80,0.01,0.01,0.03,0.02,0.01
bc57-sensors-1-k303-unsat.shuffled-as.sat03-406,UNSATISFIABLE,721.21,FAILED,FAILED,FAILED,2731.25,1138.84,1205.60,FAILED,899.48,886.06,842.02,FAILED,764.40,879.52,1515.18,1616.40,1554.59,1639.81,FAILED,2095.96,1616.71,4004.92,2236.88,FAILED
blocks-4-ipc5-h21-unknown,UNSATISFIABLE,33.23,140.17,FAILED,FAILED,38.94,11.98,11.72,FAILED,24.27,32.78,32.61,FAILED,34.31,63.04,19.95,59.24,77.57,71.67,48.39,16.32,44.70,12.28,11.30,859.23
blocks-blocks-36-0.120-NOTKNOWN,UNSATISFIABLE,1177.31,FAILED,FAILED,FAILED,FAILED,1267.40,1218.80,FAILED,2276.79,1780.83,1937.14,FAILED,1539.10,1789.48,3582.11,1484.50,1424.61,1451.72,FAILED,2952.41,716.51,2578.40,FAILED,FAILED
blocks-blocks-36-0.160-NOTKNOWN,SATISFIABLE,46.43,2752.83,FAILED,877.10,35.08,86.63,11.54,FAILED,1620.07,388.21,378.77,FAILED,31.98,84.05,42.48,421.10,2679.97,508.52,140.83,32.26,261.15,38.02,180.39,FAILED
blocks-blocks-36-0.170-NOTKNOWN,SATISFIABLE,78.85,1850.62,FAILED,506.43,134.67,70.04,36.94,FAILED,589.66,32.37,33.74,FAILED,27.49,53.71,48.41,387.43,296.89,262.72,260.33,173.12,331.95,34.80,192.63,FAILED
blocks-blocks-36-0.180-SAT,SATISFIABLE,23.86,2766.26,FAILED,1206.36,35.35,27.46,10.32,FAILED,1118.62,194.48,205.03,FAILED,30.00,85.93,69.91,339.72,348.10,398.27,681.09,54.52,312.97,24.03,391.31,FAILED
blocks-blocks-37-1.120-NOTKNOWN,UNSATISFIABLE,76.78,224.75,FAILED,4634.67,131.19,61.52,72.48,FAILED,98.87,110.21,97.75,FAILED,83.46,94.60,249.29,280.30,520.43,2949.37,220.41,105.12,220.24,113.09,340.32,FAILED
blocks-blocks-37-1.130-NOTKNOWN,UNSATISFIABLE,696.75,FAILED,FAILED,FAILED,1093.74,987.82,748.93,FAILED,802.05,817.21,991.91,FAILED,633.73,841.47,2531.88,745.58,967.42,812.86,FAILED,2017.47,512.23,1347.10,3135.12,FAILED
blocks-blocks-37-1.150-SAT,SATISFIABLE,13.16,481.19,FAILED,1341.97,339.52,25.78,29.75,FAILED,314.41,57.61,57.05,FAILED,30.19,49.11,43.00,722.13,521.91,559.06,52.13,22.27,192.66,89.95,90.42,FAILED
